Number_of_processes,Size_of_input,Execution_time,Sync_time,Computation_time
1,344847006,29998,13286,16712
1,344847006,31913,14965,16948
1,344847006,31262,13817,17445
1,344847006,30588,13599,16989
1,344847006,30999,13960,17039
1,683789180,58227,24949,33278
1,683789180,58105,24645,33460
1,683789180,58104,25258,32846
1,683789180,57917,24938,32979
1,683789180,59366,25760,33606
1,1033466053,86418,36335,50083
1,1033466053,87170,36574,50596
1,1033466053,87937,37356,50581
1,1033466053,90537,39727,50809
1,1033466053,86973,36405,50568
2,344847006,25522,14563,10959
2,344847006,25611,14569,11041
2,344847006,25819,14785,11034
2,344847006,25528,14451,11077
2,344847006,25696,14633,11063
2,683789180,48233,26927,21306
2,683789180,47261,25865,21396
2,683789180,46561,25365,21196
2,683789180,47750,26154,21596
2,683789180,48190,26827,21363
2,1033466053,70177,38901,31275
2,1033466053,69466,37953,31513
2,1033466053,68726,37055,31671
2,1033466053,72792,40831,31961
2,1033466053,69970,38438,31532
3,344847006,23803,15033,8770
3,344847006,23952,15194,8757
3,344847006,24036,15176,8860
3,344847006,24017,15249,8768
3,344847006,24107,15090,9017
3,683789180,44661,28220,16441
3,683789180,44228,27481,16747
3,683789180,44802,28192,16610
3,683789180,45083,28492,16591
3,683789180,45214,28527,16687
3,1033466053,65777,40721,25056
3,1033466053,65462,40260,25202
3,1033466053,63470,38833,24637
3,1033466053,66712,41333,25379
3,1033466053,67183,42021,25162
4,344847006,23114,15249,7864
4,344847006,23139,15396,7743
4,344847006,23235,15290,7945
4,344847006,23049,15218,7831
4,344847006,23085,15294,7791
4,683789180,42791,28073,14718
4,683789180,43050,28556,14494
4,683789180,42800,28012,14788
4,683789180,42850,28351,14498
4,683789180,42583,27722,14861
4,1033466053,62509,39850,22659
4,1033466053,64538,41620,22918
4,1033466053,61654,39428,22226
4,1033466053,63925,41063,22862
4,1033466053,62772,40208,22564
5,344847006,22845,15761,7084
5,344847006,22746,15567,7179
5,344847006,23083,15815,7267
5,344847006,22652,15514,7138
5,344847006,22920,15601,7319
5,683789180,41945,28716,13229
5,683789180,41464,28543,12921
5,683789180,42064,28888,13176
5,683789180,42258,29106,13152
5,683789180,41953,28724,13229
5,1033466053,59141,40568,18573
5,1033466053,58991,40469,18522
5,1033466053,60219,41654,18565
5,1033466053,59456,40502,18954
5,1033466053,60670,41700,18970
6,344847006,22543,15805,6738
6,344847006,22897,15768,7129
6,344847006,23101,15856,7245
6,344847006,22635,15733,6901
6,344847006,22771,15759,7012
6,683789180,41831,28859,12972
6,683789180,41370,29240,12130
6,683789180,42374,29319,13055
6,683789180,42024,29125,12899
6,683789180,41639,29089,12550
6,1033466053,59601,41673,17928
6,1033466053,60231,41741,18489
6,1033466053,60279,41968,18311
6,1033466053,60459,41542,18917
6,1033466053,58669,40841,17828
7,344847006,22907,16128,6779
7,344847006,22522,15843,6679
7,344847006,23015,16234,6781
7,344847006,23136,16481,6654
7,344847006,23249,16472,6777
7,683789180,41491,29418,12073
7,683789180,41763,29510,12253
7,683789180,41909,29441,12468
7,683789180,41791,29649,12142
7,683789180,41828,29202,12626
7,1033466053,59950,42004,17946
7,1033466053,60468,42464,18004
7,1033466053,60585,42480,18104
7,1033466053,58917,41182,17735
7,1033466053,60743,42938,17804
8,344847006,22517,16459,6058
8,344847006,22439,16380,6058
8,344847006,22180,16231,5949
8,344847006,22750,16567,6183
8,344847006,22596,16610,5986
8,683789180,40757,29518,11239
8,683789180,40801,29679,11122
8,683789180,40844,29753,11091
8,683789180,40748,29721,11027
8,683789180,40653,29662,10991
8,1033466053,59480,42566,16914
8,1033466053,60704,44018,16686
8,1033466053,59221,42445,16776
8,1033466053,58194,41793,16401
8,1033466053,59926,43283,16643
